2023-04-13 20:04:10 INFO  JamesAndJames :124 - I enter Phone number [[ChromeDriver: chrome on WINDOWS (b0500f5988d06144eaaf884450bd94e0)] -> xpath: //*[@id="4586371074"]]
2023-04-13 20:04:152 INFO  JamesAndJames :130 - I enter Phone number [[ChromeDriver: chrome on WINDOWS (b0500f5988d06144eaaf884450bd94e0)] -> xpath: //*[@id="4586383362"]]
2023-04-13 20:04:512 INFO  JamesAndJames :135 - I click On Arrange your call [[ChromeDriver: chrome on WINDOWS (b0500f5988d06144eaaf884450bd94e0)] -> xpath: //*[@id="submit_button"]]
2023-04-14 14:04:682 INFO  JamesAndJames :76 - I click On WhoWeAre
2023-04-14 14:04:720 INFO  JamesAndJames :83 - I verify Text[[ChromeDriver: chrome on WINDOWS (1f741f2830f833527a9ec7224b716f72)] -> xpath: //span[contains(text(),'Our story')]]
2023-04-14 14:04:809 INFO  JamesAndJames :90 - I click speak to an expert[[ChromeDriver: chrome on WINDOWS (1f741f2830f833527a9ec7224b716f72)] -> link text: Speak to an expert]
2023-04-14 14:04:16 INFO  JamesAndJames :96 - I enter first name [[ChromeDriver: chrome on WINDOWS (1f741f2830f833527a9ec7224b716f72)] -> xpath: //*[@id="4545906690"]]
2023-04-14 14:04:112 INFO  JamesAndJames :102 - I enter Last name [[ChromeDriver: chrome on WINDOWS (1f741f2830f833527a9ec7224b716f72)] -> xpath: //*[@id="4545907714"]]
2023-04-14 14:04:285 INFO  JamesAndJames :108 - I enter Company name  [[ChromeDriver: chrome on WINDOWS (1f741f2830f833527a9ec7224b716f72)] -> xpath: //*[@id="4545910786"]]
2023-04-14 14:04:428 INFO  JamesAndJames :114 - I enter Busienss Email [[ChromeDriver: chrome on WINDOWS (1f741f2830f833527a9ec7224b716f72)] -> xpath: //*[@id="4545908738"]]
2023-04-14 14:04:687 INFO  JamesAndJames :119 - I enter Phone number [[ChromeDriver: chrome on WINDOWS (1f741f2830f833527a9ec7224b716f72)] -> xpath: //*[@id="4545914882"]]
2023-04-14 14:04:857 INFO  JamesAndJames :124 - I enter total order [[ChromeDriver: chrome on WINDOWS (1f741f2830f833527a9ec7224b716f72)] -> xpath: //*[@id="4586371074"]]
